band_index,wavelength_nm,Cab_imp_mean,Cab_imp_std,Cab_signed_mean,Car_imp_mean,Car_imp_std,Car_signed_mean,Anth_imp_mean,Anth_imp_std,Anth_signed_mean,Cw_imp_mean,Cw_imp_std,Cw_signed_mean,Cm_imp_mean,Cm_imp_std,Cm_signed_mean,LAI_imp_mean,LAI_imp_std,LAI_signed_mean,Cp_imp_mean,Cp_imp_std,Cp_signed_mean,Cbc_imp_mean,Cbc_imp_std,Cbc_signed_mean
30,430.0,0.00028283561308247346,6.817870171175203e-05,0.0001247788507801791,0.00035890849054946256,0.0001225467939121689,0.00020567300218014375,0.0003480542218312621,2.664246261212543e-05,-0.00012697225186760383,0.00031378712931958336,1.4633085964574118e-05,0.00013650497567141429,0.0001674702919747991,4.3585541852174495e-05,4.1383567198257275e-05,0.00032490383212765056,7.366319305677782e-05,-0.00011181728890126881,0.000332751350166897,0.00010448967369603621,-8.49025915764893e-06,0.00018418312538415194,3.9543122987289485e-05,4.1666907539668806e-05
31,431.0,0.0002494083552543695,0.0001092136318928174,8.65398966804302e-05,0.00038012739969417453,0.00021158206654633301,0.00022180630367074627,0.00033051735954359174,3.335971415563864e-05,-8.76953038944824e-05,0.00031073861949456233,8.407156381362943e-05,8.302769613995527e-05,0.00016090163990156725,5.1966187773232764e-05,4.828874383141132e-05,0.0002739174912373225,6.159083467671252e-05,-0.00011506448587776201,0.0003705404815264046,0.00014978981323049556,1.1933734640479088e-05,0.0001883348886622116,6.342583500407582e-05,5.797150311082078e-05
32,432.0,0.0002915594377554953,0.0001815452860146647,0.00014212033541601463,0.0003848060199137156,0.0001745009301122105,0.0002620230637451944,0.00027960581549753744,0.00010507158655018768,-6.308909845150386e-05,0.0002907357799510161,7.275162146540866e-05,8.897738067995913e-05,0.00017630037958345687,9.453683796067283e-05,5.6072544490840905e-05,0.00026514716834450763,3.545312577948138e-05,-5.177141065360047e-05,0.0003342504787724465,0.00017836099793348774,3.6571675688416384e-05,0.00021060674771433696,0.00011435965090506308,7.065864459339839e-05
33,433.0,0.0002998268270554642,0.00011992452516096615,0.00015524264623915465,0.00031880878668744117,0.00010841606545535667,0.00019069008703809232,0.00028540065977722406,2.2297085632895537e-05,-7.163001646404155e-05,0.00022999859356787056,4.662229208934192e-05,2.9159935365896672e-05,0.00015909099602140486,5.21614363405855e-05,4.380579472732885e-05,0.00028272380101649713,3.986885975586211e-05,-1.771197882286894e-05,0.0002937322618284573,3.63753521930625e-05,-4.3195213947910815e-06,0.00018927579852364337,6.189734753766813e-05,5.566007772965046e-05
34,434.0,0.0002672149518427129,0.0001676360691754,0.00010953071857026468,0.0003167092897153149,0.00011934778555420977,0.00015184363292064518,0.00029976908505583805,9.824767187352625e-06,-7.542600754580538e-05,0.00023402778121332327,6.0973716491341484e-05,3.4954474055363484e-05,0.00013352652361694103,3.8938760783985776e-05,5.515207400700698e-05,0.000248224843138208,5.53118965382838e-05,-2.595298580369369e-05,0.0002748883901707207,6.376088860703672e-05,3.0754232890709923e-06,0.00015861485250449428,4.621795481849181e-05,7.12162642836726e-05
35,435.0,0.00020998678519390523,8.259978332765856e-05,9.417493735478881e-05,0.0002668081918576111,5.610364635117591e-05,0.0001645180915753978,0.00023158813807337234,6.294226476556422e-05,-7.182419237021047e-05,0.00023477343105090162,3.5338712489658146e-05,7.644937431905419e-05,0.00010337778076063842,1.7844977088803534e-05,3.31438847448832e-05,0.0002278072740106533,4.105428184062549e-05,-3.4278328409224436e-05,0.00020485053634426245,2.985515486373151e-05,6.815331592709602e-06,0.00011914166437539582,2.19583758163526e-05,3.891637000682143e-05
36,436.0,0.00020283883835266656,9.106021186889356e-05,7.637401358806528e-05,0.0002402386259442816,7.727896666787933e-05,0.00013449244337001195,0.00024732103338465095,0.00010946825676525134,-6.745424010053587e-05,0.00019557412451831624,6.979465513118203e-05,5.310662527335808e-05,9.324737523760025e-05,2.014043564468388e-05,2.76207229035208e-05,0.0001808901239807407,4.4793708244936124e-05,3.159394933997343e-05,0.00019117134555320567,7.292886063254034e-05,-3.3135026266487935e-06,0.00011351750436006114,2.537649989036514e-05,3.683732696420824e-05
37,437.0,0.00015427958472476652,4.18524540088899e-05,1.0673051898872169e-05,0.0001906815644664069,5.7357748033722455e-05,8.480508646850164e-05,0.00018631990436309329,6.138382201190621e-05,-4.647329819817969e-05,0.00019129558738010624,7.274601962382086e-05,-2.4318426464257453e-05,8.829116025784363e-05,1.69524680270796e-05,2.982544295567398e-05,0.00015030676877358928,2.742377489813585e-05,-9.103100940895578e-06,0.0001449939954909496,3.531661181218625e-05,1.995959488946634e-06,0.00010461861772152285,2.015955102063263e-05,3.781077359595505e-05
38,438.0,0.0001305645564571023,3.2553912811630913e-05,1.9421397761713404e-05,0.00016184512060135603,2.0237697147130774e-05,6.937287010562916e-05,0.0001586004412577798,4.132752499649136e-05,-4.975784698520632e-05,0.0001330274220284385,1.555906243102994e-05,1.6743195070982136e-05,7.762236054986715e-05,6.975328454217144e-06,3.1795704974986925e-05,0.00016058649634942412,5.4601726121233394e-05,5.0903984932422946e-06,0.00013294042340324572,4.473965517337606e-06,3.533830810435271e-05,8.613573542485635e-05,9.233662071157761e-06,3.678936506427514e-05
39,439.0,0.00012424479549129805,4.180963898646082e-05,1.7689391825115308e-05,0.00017446574687104052,0.00011027956242908579,8.939452497240079e-05,0.0001154828035699514,4.025209180175427e-05,-2.1606175929870613e-05,0.0001073463669551226,5.495914538986054e-05,-4.815027978111175e-06,5.941027787533434e-05,2.9287902348401368e-05,7.447855011832871e-06,0.00010520164748110498,3.257681590053362e-05,-6.429424198965231e-07,0.00010117567702157733,5.0976109424140336e-05,-1.2011903891107067e-05,6.855919370233703e-05,3.5026102191846666e-05,9.169133553162586e-06
